ORIGIN_AIRPORT_ID,Description,Sum(PASSENGERS)
13898,"Miami, FL: Miami Opa Locka Executive",1800
11233,"Cheyenne, WY: Cheyenne Regional/Jerry Olson Field",1799
14470,"Fort Jefferson, FL: Fort Jefferson Airport",1798
14871,"Salem, OR: McNary Field",1795
11699,"Florence, SC: Florence Regional",1742
10577,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",1740
10617,"Bishop, CA: Bishop Airport",1739
11315,"Dickinson, ND: Dickinson - Theodore Roosevelt Regional",1738
10559,"Seattle, WA: Boeing Field/King County International",1720
16115,"Kelowna, Canada: Kelowna Airport",1614
11013,"Sault Ste. Marie, MI: Chippewa County International",1546
11654,"Fort de France, Martinique: Martinique Aime Cesaire",1524
16293,"Zacatecas, Mexico: Zacatecas International",1443
15626,"Vieques, PR: Antonio Rivera Rodriguez",1420
14231,"Presque Isle/Houlton, ME: Presque Isle International",1418
11076,"Hancock/Houghton, MI: Houghton County Memorial",1397
14520,"Rhinelander, WI: Rhinelander/Oneida County",1385
10394,"Athens, Greece: Eleftherios Venizelos International",1350
12899,"North Platte, NE: North Platte Regional Airport Lee Bird Field",1340
14543,"Rock Springs, WY: Southwest Wyoming Regional",1328
12239,"Santa Cruz/Huatulco, Mexico: Bahias de Huatulco International",1326
11126,"Culebra, PR: Benjamin Rivera Noriega",1320
14534,"Riverton/Lander, WY: Central Wyoming Regional",1299
10661,"Boulder City, NV: Boulder City Municipal",1234
12335,"Iron Mountain/Kingsfd, MI: Ford",1232
10570,"Bucaramanga, Colombia: Palonegro",1228
10540,"Bedford, MA: Laurence G Hanscom Field",1226
14256,"Petersburg, AK: Petersburg James A Johnson",1193
10739,"Brainerd, MN: Brainerd Lakes Regional",1192
11869,"Grand Canyon, AZ: Grand Canyon National Park",1183
11525,"Elko, NV: Elko Regional",1169
13203,"Macon, GA: Middle Georgia Regional",1147
10361,"Watertown, NY: Watertown International",1132
15582,"Vernal, UT: Vernal Regional",1097
10779,"Butte, MT: Bert Mooney",1079
16443,"Cabo San Lucas, Mexico: Cabo San Lucas International",1079
12888,"Laramie, WY: Laramie Regional",1060
14186,"Pohnpei, Federated States of Micronesia: Pohnpei International",1059
11274,"Dubuque, IA: Dubuque Regional",1051
15237,"Chuuk, Federated States of Micronesia: Chuuk International",1047
13241,"Meridian, MS: Key Field",973
11041,"Carlsbad, CA: McClellan-Palomar",953
14485,"Red Dog, AK: Red Dog Airport",932
10910,"Concord, CA: Buchanan Field",931
10154,"Nantucket, MA: Nantucket Memorial",924
11587,"Escanaba, MI: Delta County",906
14905,"Santa Maria, CA: Santa Maria Public/Capt. G. Allan Hancock Field",897
12559,"Johnstown, PA: John Murtha Johnstown-Cambria County",888
11844,"Galena, AK: Edward G. Pitka Sr.",874
12129,"Hibbing, MN: Range Regional",860
14109,"Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional",855
13176,"Mayaguez, PR: Eugenio Maria de Hostos",839
15569,"Victoria, TX: Victoria Regional",825
13964,"North Bend/Coos Bay, OR: Southwest Oregon Regional",814
14006,"Paducah, KY: Barkley Regional",801
12343,"International Falls, MN: Falls International Einarson Field",794
10268,"Waterloo, IA: Waterloo Regional",783
11827,"Fort Lauderdale, FL: Fort Lauderdale Executive",778
14877,"Salina, KS: Salina Regional",775
15841,"Wrangell, AK: Wrangell Airport",772
12511,"Joplin, MO: Joplin Regional",770
15374,"Tupelo, MS: Tupelo Regional",767
10558,"Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field",766
10926,"Cordova, AK: Merle K Mudhole Smith",766
14150,"Pellston, MI: Pellston Regional Airport of Emmet County",764
14582,"Rota, TT: Benjamin Taisacan Manglona International",747
10519,"Boca Raton, FL: Boca Raton Public",731
11550,"Emmonak, AK: Emmonak Airport",725
12255,"Hays, KS: Hays Regional",721
10918,"Cedar City, UT: Cedar City Regional",716
11288,"Decatur, IL: Decatur Airport",709
13162,"Majuro, Marshall Islands: Amata Kabua International",709
13543,"Marion/Herrin, IL: Veterans Airport of Southern Illinois",702
12932,"Lebanon-Hanover, NH: Lebanon Municipal",701
13388,"Mammoth Lakes, CA: Mammoth Lakes Airport",685
13541,"Martha's Vineyard, MA: Martha's Vineyard Airport",639
10562,"Mobile, AL: Mobile International",634
12519,"Jamestown, ND: Jamestown Regional",632
15342,"Taos, NM: Taos Regional",624
10245,"King Salmon, AK: King Salmon Airport",617
10654,"Beckley, WV: Raleigh County Memorial",600
10613,"Block Island, RI: Block Island State",596
11283,"Dodge City, KS: Dodge City Regional",592
10333,"Alpena, MI: Alpena County Regional",579
12728,"Klawock, AK: Klawock Airport",564
10011,"Peach Springs, AZ: Grand Canyon West",563
13166,"Manaus, Brazil: Eduardo Gomes International",562
15478,"Unalakleet, AK: Unalakleet Airport",562
11762,"Friday Harbor, WA: Friday Harbor Airport",559
15051,"Silver City/Hurley, NM: Grant County",557
16825,"Exuma, The Bahamas: Staniel Cay",552
12127,"Hawthorne, CA: Jack Northrop Field/Hawthorne Municipal",533
15138,"Fort Leonard Wood, MO: Waynesville-St. Robert Regional Forney Field",522
15855,"Westerly, RI: Westerly State",516
12363,"El Centro, CA: Imperial County",503
14918,"Shannon, Ireland: Shannon Airport",497
10967,"Cape Girardeau, MO: Cape Girardeau Regional",492
16091,"Detroit, MI: Willow Run",486
14458,"Avarua, Cook Islands: Rarotonga International",483
14745,"Sidney, MT: Sidney Richland Regional",479
11447,"Devils Lake, ND: Devils Lake Regional",459
11445,"Unalaska, AK: Unalaska Airport",458
12798,"Kosrae, Federated States of Micronesia: Kosrae Airport",458
10930,"Crescent City, CA: Jack McNamara Field",455
15598,"Virgin Gorda, British Virgin Islands: Virgin Gorda Airport",454
15994,"Yap, Federated States of Micronesia: Yap International",442
13282,"Morgantown, WV: Morgantown Municipal Walter L Bill Hart Field",440
12853,"Quinhagak, AK: Quinhagak Airport",436
11588,"Eastsound, WA: Orcas Island",432
10304,"Aniak, AK: Aniak Airport",429
10589,"Bar Harbor, ME: Hancock County-Bar Harbor",426
14081,"Page, AZ: Page Municipal",420
12195,"Hooper Bay, AK: Hooper Bay Airport",406
14054,"Pendleton, OR: Eastern Oregon Regional at Pendleton",405
11123,"St. Louis, MO: Bi-State Parks",402
11833,"Fort Yukon, AK: Fort Yukon Airport",396
13983,"Owensboro, KY: Owensboro Daviess County Regional",395
10621,"Bimini, The Bahamas: Bimini International",386
11725,"Fort Dodge, IA: Fort Dodge Regional",386
12779,"Kipnuk, AK: Kipnuk Airport",383
10194,"Dallas/Fort Worth, TX: Perot Field Fort Worth Alliance",378
13032,"Lancaster, PA: Lancaster Airport",372
14819,"San Juan, PR: Isla Grande",368
14718,"Scammon Bay, AK: Scammon Bay Airport",361
12845,"Kwajalein, Marshall Islands: Bucholz AAF",355
14539,"Rockland, ME: Knox County Regional",352
13194,"Merced, CA: Merced Yosemite Regional",347
15554,"Chevak, AK: Chevak Airport",346
13002,"Seattle, WA: Lake Union Terminal",343
11092,"Moab, UT: Canyonlands Regional",339
14802,"Staunton, VA: Shenandoah Valley Regional",331
12348,"Winston-Salem, NC: Smith Reynolds",330
14131,"Parkersburg, WV: Mid-Ohio Valley Regional",329
13109,"Kalaupapa, HI: Kalaupapa Airport",328
14102,"Point Hope, AK: Point Hope Airport",324
11441,"DuBois, PA: DuBois Regional",321
10640,"Buckland, AK: Buckland Airport",317
13121,"Lewisburg, WV: Greenbrier Valley",309
14648,"Rutland, VT: Rutland - Southern Vermont Regional",305
13520,"Kamuela, HI: Waimea-Kohala",303
12553,"Ceiba, PR: Jose Aponte de la Torre",302
10414,"Augusta/Waterville, ME: Augusta State",300
14875,"Saranac Lake/Lake Placid, NY: Adirondack Regional",300
12214,"Huslia, AK: Huslia Airport",299
12855,"Kwethluk, AK: Kwethluk Airport",298
13490,"Massena, NY: Massena International-Richards Field",294
15991,"Yakutat, AK: Yakutat Airport",294
11227,"Chefornak, AK: Chefornak Airport",292
10241,"Akiak, AK: Akiak Airport",287
14306,"Provincetown, MA: Provincetown Municipal",285
10225,"Wainwright, AK: Wainwright Airport",283
14967,"San Carlos, CA: San Carlos Airport",282
12709,"Akiachak, AK: Akiachak Airport",281
12807,"St. Mary's, AK: St. Mary's Airport",280
10683,"Bloomington, IN: Monroe County",277
13211,"Mason City, IA: Mason City Municipal",270
15785,"Selawik, AK: Selawik Airport",270
15862,"Tuntutuliak, AK: Tuntutuliak Airport",266
11931,"Greenville, MS: Greenville Mid Delta",265
14943,"Show Low, AZ: Show Low Regional",261
13434,"Mountain Village, AK: Mountain Village Airport",258
13832,"Ogdensburg, NY: Ogdensburg International",258
15153,"Tuscaloosa, AL: Tuscaloosa National",256
14561,"Ramstein, Germany: Ramstein AB",255
11085,"Carlsbad, NM: Cavern City Air Terminal",253
13182,"Manistee/Ludington, MI: Manistee County-Blacker",251
13942,"Noorvik, AK: Robert/Bob/Curtis Memorial",251
14942,"Seldovia, AK: Seldovia Airport",251
13398,"Morristown, NJ: Morristown Municipal",250
15167,"Teterboro, NJ: Teterboro Airport",246
15861,"Noatak, AK: Noatak Airport",246
11492,"Eek, AK: Eek Airport",240
12708,"Kongiganak, AK: Kongiganak Airport",239
10744,"Burlington, IA: Southeast Iowa Regional",238
12375,"Kirksville, MO: Kirksville Regional",237
12250,"Hyannis, MA: Cape Cod Gateway",232
12321,"Iliamna, AK: Iliamna Airport",232
13654,"Nevis, Saint Kitts and Nevis: Vance Winkworth Amory",230
13467,"Anchorage, AK: Merrill Field",228
12207,"Harrison, AR: Boone County",227
13484,"Muscle Shoals, AL: Northwest Alabama Regional",227
12174,"Hana, HI: Hana Airport",224
15257,"Tuluksak, AK: Tuluksak Airport",223
11726,"Topeka, KS: Topeka Regional",222
14234,"Pilot Station, AK: Pilot Station Airport",222
16233,"Victoria, Canada: Victoria Inner Harbour",221
10247,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport",220
12831,"Kasigluk, AK: Kasigluk Airport",220
12492,"Kapalua, HI: Kapalua Airport",219
13894,"Toksook, AK: Toksook Bay",216
16879,"Llano, TX: Llano Municipal",216
13348,"Jackson, TN: McKellar-Sipes Regional",215
15417,"South Andos, The Bahamas: Congo Town",215
12245,"Havre, MT: Havre City-County",212
14805,"Shishmaref, AK: Shishmaref Airport",212
11845,"Gambell, AK: Gambell Airport",211
13768,"Nulato, AK: Nulato Airport",207
10416,"Alakanuk, AK: Alakanuk Airport",205
14627,"Russian Mission, AK: Russian Mission Airport",205
15454,"Quincy, IL: Quincy Regional-Baldwin Field",205
13862,"Wolf Point, MT: L. M. Clayton",200
13770,"Nunapitchuk, AK: Nunapitchuk Airport",195
12822,"Brevig Mission, AK: Brevig Mission Airport",194
14738,"Sandpoint, AK: Sand Point",191
14919,"St. Paul, AK: St. Paul Island",191
15049,"Savoonga, AK: Savoonga Airport",187
10165,"Adak Island, AK: Adak",183
12171,"Hoonah, AK: Hoonah Airport",183
12769,"Kotlik, AK: Kotlik Airport",183
12851,"Kwigillingok, AK: Kwigillingok Airport",180
15579,"Valdez, AK: Valdez Pioneer Field",180
10557,"Bradford, PA: Bradford Regional",175
15293,"Togiak, AK: Togiak Airport",173
12649,"Nanwalek, AK: Nanwalek Airport",172
12018,"Gallup, NM: Gallup Municipal",170
12704,"Koyuk, AK: Koyuk Alfred Adams",170
13369,"Marshall, AK: Marshall Don Hunter Sr.",168
11908,"Glasgow, MT: Wokal Field Glasgow Valley County",162
12268,"Kiana, AK: Bob Baker Memorial",161
10322,"Altoona, PA: Altoona-Blair County",160
13196,"McGrath, AK: McGrath Airport",160
12175,"Haines, AK: Haines Airport",158
12844,"Kivalina, AK: Kivalina Airport",158
16567,"Akun, AK: Akun Airport",157
14022,"Puebla, Mexico: Puebla International",156
12610,"Kake, AK: Kake Seaplane Base",155
11531,"El Dorado, AR: South Arkansas Regional at Goodwin Field",150
10925,"Chadron, NE: Chadron Municipal",149
11992,"Goldsboro, NC: Seymour Johnson AFB",147
15721,"Stebbins, AK: Stebbins Airport",146
11879,"Glendive, MT: Dawson Community",145
12719,"Kalskag, AK: Kalskag Airport",145
14125,"Point Lay, AK: Point Lay LRRS",140
11214,"Coldfoot, AK: Coldfoot Airport",139
10405,"Atmautluak, AK: Atmautluak Airport",138
12748,"Kokhanok, AK: Kokhanok Airport",138
12615,"Kaltag, AK: Kaltag Airport",137
14288,"Pueblo, CO: Pueblo Memorial",137
13072,"Las Cruces, NM: Las Cruces International",136
13767,"Nuiqsut, AK: Nuiqsut Airport",136
14856,"Shaktoolik, AK: Shaktoolik Airport",136
14929,"Sofia, Bulgaria: Sofia Airport",135
14895,"St. Michael, AK: St. Michael Airport",132
13344,"Muskegon, MI: Muskegon County",131
10349,"Arctic Village, AK: Arctic Village Airport",130
12190,"Hot Springs, AR: Memorial Field",130
15887,"Newtok, AK: Mertarvik",130
10139,"Ambler, AK: Ambler River",128
10396,"Atqasuk, AK: Atqasuk Edward Burnell Sr. Memorial",126
15842,"Fort Dix, NJ: McGuire Field",124
15124,"Tanana, AK: Ralph M Calhoun Memorial",122
10216,"Athens, GA: Athens/Ben Epps",121
14088,"Port Graham, AK: Port Graham Airport",120
13068,"La Romana, Dominican Republic: Casa de Campo International",118
14474,"Ruby, AK: Ruby Airport",118
15232,"Truckee, CA: Truckee Tahoe",117
11535,"Elim, AK: Elim Airport",115
12902,"Liberal, KS: Liberal Mid-America Regional",115
15245,"Teller, AK: Teller Airport",114
11615,"New Bedford/Fall River, MA: New Bedford Regional",112
10615,"El Paso, TX: Biggs AAF",108
15581,"Venetie, AK: Venetie Airport",107
11764,"East Farmingdale, NY: Republic",103
15282,"Tununak, AK: Tununak Airport",103
12755,"New Stuyahok, AK: New Stuyahok Airport",102
10371,"Andros Town, The Bahamas: Andros Town International",99
12455,"Jonesboro, AR: Jonesboro Municipal",99
14804,"Shungnak, AK: Shungnak Airport",93
12737,"Manokotak, AK: Manokatak Seaplane Base",92
10775,"Barter Island, AK: Barter Island Airport",91
13105,"Cincinnati, OH: Cincinnati Municipal Lunken Field",91
11941,"Golovin, AK: Golovin Airport",89
13579,"Mekoryuk, AK: Mekoryuk Airport",88
10184,"Allakaket, AK: Allakaket Airport",87
11997,"Gustavus, AK: Gustavus Airport",86
13273,"Marietta, GA: Dobbins ARB",84
15709,"Wales, AK: Wales Airport",84
15794,"White Mountain, AK: White Mountain Airport",84
10204,"Angoon, AK: Angoon Seaplane Base",81
15085,"Sheldon Point, AK: Nunam Iqua",79
14218,"Prospect Creek, AK: Prospect Creek Airport",75
13697,"Cherry Point, NC: Cherry Point MCAS",73
14130,"Napaskiak, AK: Napaskiak Airport",73
14797,"Skagway, AK: Skagway Airport",73
11411,"Deering, AK: Deering Airport",72
13676,"Nikolai, AK: Nikolai Airport",72
10916,"Chub Cay, The Bahamas: Chub Cay Airport",71
10917,"Cold Bay, AK: Cold Bay Airport",71
15618,"Van Nuys, CA: Van Nuys Airport",71
12878,"Lafayette, IN: Purdue University",69
13710,"Nightmute, AK: Nightmute Airport",69
10783,"Bettles, AK: Bettles Airport",68
15057,"Savannah, GA: Hunter AAF",68
15406,"Tyonek, AK: Tyonek Airport",68
11789,"Dallas/Fort Worth, TX: Fort Worth Meacham International",67
12786,"Akutan, AK: Akutan Airport",62
15725,"Beaver, AK: Beaver Airport",60
16390,"Beluga, AK: Beluga Airport",59
15798,"Napakiak, AK: Napakiak Airport",58
13806,"Kobuk, AK: Kobuk Airport",56
12235,"Hughes, AK: Hughes Airport",55
12574,"Nashville, TN: John C Tune",51
10478,"Westfield, MA: Westfield Barnes Regional",50
12652,"Kenmore, WA: Kenmore Air Harbor",50
11952,"Goodnews Bay, AK: Goodnews",49
15205,"Tirana, Albania: Tirana International",49
11834,"Fayetteville, AR: Drake Field",48
12868,"Koyukuk, AK: Koyukuk Airport",48
13341,"Kansas City, MO: Charles B. Wheeler Downtown",47
12841,"King Cove, AK: King Cove Airport",46
11859,"Galbraith Lake, AK: Galbraith Lake Airport",45
12671,"Koliganek, AK: Koliganek Airport",41
14682,"San Andros, The Bahamas: San Andros Airport",39
16083,"Montreal, Canada: St. Hubert",38
11463,"Eagle, AK: Eagle Airport",37
11007,"Chalkyitsik, AK: Chalkyitsik Airport",36
12676,"Grayling, AK: Grayling Airport",36
12653,"Ekwok, AK: Ekwok Airport",34
15385,"Twin Hills, AK: Twin Hills Airport",34
14559,"Rampart, AK: Rampart Airport",28
15171,"Tatitlek, AK: Tatitlek Airport",28
10298,"Anniston, AL: Anniston Regional",27
13629,"Chenega, AK: Chenega Bay",27
12087,"Holy Cross, AK: Holy Cross Airport",26
13024,"Klamath Falls, OR: Crater Lake Klamath Regional",25
10237,"Atka, AK: Atka Airport",23
14530,"Rifle, CO: Rifle Garfield County",23
15147,"Treasure Cay, The Bahamas: Treasure Cay Airport",23
15741,"Ketchikan, AK: Ketchikan Waterfront Seaplane Base",23
11053,"Clarks Point, AK: Clarks Point Airport",22
13731,"Newport, RI: Newport State",22
14050,"Atlanta, GA: Dekalb Peachtree",21
14062,"Pelican, AK: Pelican Seaplane Base",21
15012,"St. George Island, AK: St. George Island Airport",20
16254,"Whitehorse, Canada: Erik Nielsen International",20
14282,"Platinum, AK: Platinum Airport",19
15030,"Stuart, FL: Witham Field",19
15061,"Stevens Village, AK: Stevens Village Airport",19
12720,"Levelock, AK: Levelock Airport",17
13715,"Nondalton, AK: Nondalton Airport",17
11317,"Diomede Island, AK: Diomede Heliport",16
12621,"Birch Creek, AK: Birch Creek Airport",16
13439,"Miami, FL: Watson Island International",16
10996,"Chuathbaluk, AK: Chuathbaluk Airport",15
12370,"Circle, AK: Circle City",15
12784,"Perryville, AK: Perryville Airport",14
14898,"Santa Monica, CA: Santa Monica Municipal",14
15160,"Takotna, AK: Takotna Airport",14
13415,"Minto, AK: Minto Al Wright",13
12294,"Igiugig, AK: Igiugig Airport",12
14816,"Shageluk, AK: Shageluk Airport",12
15231,"Tenakee, AK: Tenakee Airport",12
13501,"Marathon, FL: The Florida Keys Marathon International",11
13513,"Fairbanks, AK: Metro Field",11
10313,"Anvik, AK: Anvik Airport",10
13461,"Smyrna, TN: Smyrna Airport",10
14273,"Port Heiden, AK: Port Heiden Airport",10
14275,"Pontiac, MI: Oakland County International",10
15246,"Toluca, Mexico: Toluca International",10
11028,"Crooked Creek, AK: Crooked Creek Airport",9
13424,"Modesto, CA: Modesto City-County-Harry Sham Field",9
13771,"Mountain View, CA: Moffett Federal Airfield",9
10958,"Clifton, AZ: Greenlee County",8
11486,"Edenton, NC: Northeastern Regional",8
11675,"Fishers Island, NY: Elizabeth Field",8
12641,"Chignik, AK: Chignik Lake",8
13016,"Lake Minchumina, AK: Lake Minchumina Airport",8
13504,"Metlakatla, AK: Metlakatala",8
14412,"Keyes Point, AK: Keyes Point Airport",8
16745,"Houston, TX: Houston Executive",8
16829,"West Palm Beach, FL: Palm Beach County Park",8
10327,"Napa, CA: Napa County",7
10569,"Beaufort, SC: Beaufort Executive",7
12315,"Nikolski, AK: Nikolski AS",7
15574,"Vidalia, GA: Vidalia Regional",7
10014,"Fairbanks/Ft. Wainwright, AK: Blair Lake",6
10329,"Naples, FL: Naples Municipal",6
11421,"Destin, FL: Destin Executive",6
11450,"Phoenix, AZ: Phoenix - Deer Valley",6
11511,"Egegik, AK: Egegik Airport",6
11924,"Gulkana, AK: Gulkana Airport",6
12638,"Chignik Lagoon, AK: Chignik Lagoon Airport",6
14119,"Pilot Point, AK: Pilot Point Airport",6
14626,"Rock Sound, The Bahamas: Rock Sound Airport",6
16256,"North Bay, Canada: North Bay Airport",6
10722,"Bartow, FL: Bartow Executive",5
10836,"Rock Hill, SC: Rock Hill/York County/Bryant Field",5
10965,"Cleveland, OH: Cuyahoga County",5
13111,"Cape Lisburne, AK: Cape Lisburne LRRS",5
13381,"Manley Hot Springs, AK: Manley Hot Springs Airport",5
13987,"Waterbury, CT: Waterbury Oxford",5
14880,"Sleetmute, AK: Sleetmute Airport",5
14987,"Stony River, AK: Stony River Airport",5
15548,"Leesburg, VA: Leesburg Executive",5
15853,"South Naknek, AK: South Naknek 2",5
16215,"Toronto, Canada: Billy Bishop Toronto City",5
10583,"Bagdad, AZ: Bagdad Airport",4
11327,"Delta Junction, AK: Delta Junction Airport",4
11496,"Newport, VT: Northeast Kingdom International",4
11899,"Glens Falls, NY: Floyd Bennett Memorial",4
13809,"Ocala, FL: Ocala International-Jim Taylor Field",4
14477,"Roche Harbor, WA: Roche Harbor Airport",4
14863,"Skwentna, AK: Skwentna Airport",4
15260,"Miami, FL: Miami Executive",4
15278,"Tin City, AK: Tin City LRRS",4
16560,"Bend, OR: Bend Municipal",4
16999,"Cabo Rojo, PR: Boqueron",4
10325,"Denver, CO: Centennial",3
11241,"Cape Romanzof, AK: Cape Romanzof LRRS",3
13988,"Oxnard/Ventura, CA: Oxnard",3
14052,"Maldonado, Uruguay: Capitan Corbeta C. A. Curbelo International",3
16848,"Camilla, GA: Camilla Mitchell County",3
10171,"Dallas, TX: Addison",2
10857,"Camarillo, CA: Camarillo Airport",2
11015,"Canouan, Saint Vincent and the Grenadines: Canouan Airport",2
11387,"Springfield, TN: Springfield Robertson County",2
11512,"Cape Newenham, AK: Cape Newenham LRRS",2
12055,"Gary, IN: Gary/Chicago International",2
12211,"Las Vegas, NV: Henderson Executive",2
12247,"Hayward, CA: Hayward Executive",2
12297,"Kingman, AZ: Kingman Airport",2
12388,"Orlando, FL: Kissimmee Gateway",2
13936,"Orlando, FL: Exec",2
14044,"Princeton, NJ: Princeton Airport",2
14268,"Port Alsworth, AK: Port Alsworth Airport",2
14270,"Port Alexander, AK: Port Alexander Airport",2
14553,"Rome, NY: Griffiss International",2
14785,"Springfield, OH: Springfield-Beckley Municipal",2
15307,"Tampa, FL: Peter O'Knight",2
15325,"Thermal, CA: Jacqueline Cochran Regional",2
15448,"Ugashik, AK: Ugashik Airport",2
15615,"Venice, FL: Venice Municipal",2
15879,"Augusta/Waterville, ME: Waterville Robert Lafleur",2
16454,"Hamilton, NY: Hamilton Municipal",2
16679,"Marfa, TX: Marfa Municipal",2
17008,"Williamstown, NJ: Southern Cross",2
10734,"Bequia, Saint Vincent and the Grenadines: J. F. Mitchell",1
10961,"Craig, AK: Craig Seaplane Base",1
11484,"Edna Bay, AK: Edna Bay Airport",1
11545,"Elfin Cove, AK: Elfin Cove Seaplane Base",1
11564,"Kenosha, WI: Kenosha Regional",1
12068,"Hamilton, OH: Butler County Regional Hogan Field",1
12252,"Hydaburg, AK: Hydaburg Seaplane Base",1
12253,"Hollis, AK: Hollis Seaplane Base",1
12587,"Portland, TN: Douglas Hunter Field",1
12599,"Bennington, VT: William H. Morse State",1
12635,"Chignik Bay, AK: Chignik Bay Airport",1
12663,"False Pass, AK: False Pass Airport",1
14046,"Pedro Bay, AK: Pedro Bay Airport",1
14673,"Safford, AZ: Safford Regional",1
15250,"Tatalina, AK: Tatalina LRRS",1
15498,"Heber, UT: Heber Valley",1
16527,"Monroeville, AL: Monroe County Aeroplex",1
16666,"Dover-Cheswold, DE: Delware Airpark",1
10040,"Pogo Mines, AK: Pogo Mines Airport",0
10198,"Pittsburgh, PA: Allegheny County",0
10480,"Manama, Bahrain: Bahrain International",0
10817,"Brownwood, TX: Brownwood Regional",0
10819,"Bowling Green, KY: Bowling Green-Warren County Regional",0
10877,"Guangzhou, China: Baiyun",0
10938,"Central, AK: Central Airport",0
10970,"Cologne, Germany: Koeln Bonn",0
11002,"Chico, CA: Chico Regional",0
11030,"Chongqing, China: Jiangbei",0
11050,"Port Angeles, WA: William R. Fairchild International",0
11086,"Chino, CA: Chino Airport",0
11160,"Changsha, China: Huanghua",0
11198,"Corvallis, OR: Corvallis Municipal",0
11348,"Deming, NM: Deming Municipal",0
11375,"Dover, DE: Dover AFB",0
11415,"Del Rio, TX: Del Rio International",0
11430,"Denton, TX: Denton Enterprise",0
11468,"Kearney, NE: Kearney Regional",0
11548,"Derby, United Kingdom: East Midlands",0
11711,"Farmington, NM: Four Corners Regional",0
11938,"Gaylord, MI: Gaylord Regional",0
12132,"Lake Havasu City, AZ: Lake Havasu City Airport",0
12263,"Wichita, KS: McConnell AFB",0
12324,"Wilmington, OH: Wilmington Air Park",0
12337,"Indianapolis, IN: Indianapolis Executive",0
12436,"Inyokern, CA: Inyokern Airport",0
12496,"Djibouti, Djibouti: Ambouli International",0
12598,"Arlington, TX: Arlington Municipal",0
12633,"Coffman Cove, AK: Coffman Cove Seaplane Base",0
12815,"Thorne Bay, AK: Thorne Bay Seaplane Base",0
12857,"Kasaan, AK: Kasaan Seaplane Base",0
12882,"Lakeland, FL: Lakeland Linder International",0
12957,"Liege, Belgium: Liege Airport",0
13087,"Las Vegas, NV: Nellis AFB",0
13157,"Madera, CA: Madera Municipal",0
13192,"Sacramento, CA: McClellan Airfield",0
13200,"McCook, NE: McCook Ben Nelson Regional",0
13246,"Manteo, NC: Dare County Regional",0
13255,"Mansfield, OH: Mansfield Lahm Regional",0
13295,"Sacramento, CA: Sacramento Mather",0
13483,"Misawa, Japan: Misawa AB",0
13537,"Mount Vernon, IL: Mount Vernon Airport",0
13540,"Burlington/Mount Vernon, WA: Skagit Regional",0
13618,"Guantanamo, Cuba: Guantanamo Bay NS",0
13667,"Norfolk, VA: Norfolk NS",0
13692,"Nanjing, China: Lukou",0
13693,"Naukiti, AK: Naukiti Airport",0
13704,"Nelson Lagoon, AK: Nelson Lagoon Airport",0
13754,"Sigonella, Italy: Sigonella Airport",0
13756,"Port Hueneme, CA: Point Mugu NAS",0
13785,"Yuma, AZ: Yuma MCAS/Yuma International",0
13856,"Tokyo, Japan: Yokota AB",0
13890,"Newport, OR: Newport Municipal",0
13947,"Oscoda, MI: Oscoda-Wurtsmith",0
13954,"Osan, South Korea: Osan AB",0
13957,"Ostend, Belgium: Oostende",0
14030,"Zanderij, Suriname: Johan A. Pengel International",0
14120,"Pierre, SD: Pierre Regional",0
14229,"Port Protection, AK: Port Protection Airport",0
14435,"San Marcos, TX: San Marcos Regional",0
14447,"Racine, WI: Batten International",0
14467,"Roseburg, OR: Roseburg Regional",0
14493,"Red Devil, AK: Red Devil Airport",0
14533,"Riverside, CA: March ARB",0
14656,"Rocky Mount, NC: Rocky Mount-Wilson Regional",0
14664,"Rzeszow, Poland: Jasionka",0
14886,"Saltillo, Mexico: Saltillo International",0
15018,"London, United Kingdom: London Stansted",0
15022,"Stuttgart, Germany: Stuttgart Airport",0
15043,"St. Louis, MO: Spirit of St. Louis",0
15045,"Fairfield, CA: Travis AFB",0
15113,"Shenzhen, China: Bao'an International",0
15127,"Qingdao, China: Liuting",0
15129,"Taranto, Italy: Taranto Grottaglie",0
15174,"Lajes, Portugal: Lajes Airport",0
15210,"Tijuana, Mexico: Tijuana International",0
15277,"Jinan, China: Yaoqiang",0
15381,"Thief River Falls, MN: Thief River Falls Regional",0
15422,"Guam, TT: Andersen AFB",0
15458,"Ukiah, CA: Ukiah Municipal",0
15525,"Petaluma, CA: Petaluma Municipal",0
15567,"Sao Paulo, Brazil: Viracopos International",0
15601,"Visalia, CA: Visalia Municipal",0
15754,"Hyder, AK: Hyder Seaplane Base",0
15793,"Meyers Chuck, AK: Meyers Chuck Seaplane Base",0
15877,"Watsonville, CA: Watsonville Municipal",0
15885,"Whale Pass, AK: Whale Pass Airport",0
15917,"Xiamen, China: Gaoqi",0
15973,"Lakeport, CA: Lampson Field",0
16078,"Hamilton, Canada: John C. Munro Hamilton International",0
16085,"Halifax, Canada: Halifax Stanfield International",0
16128,"Montreal, Canada: Montreal International",0
16171,"Moncton, Canada: Greater Moncton Romeo Leblanc International",0
16852,"Zumpango, Mexico: Santa Lucia",0
